-999-01-01, 00:00:00 UTC = -225-03-25, 17:00:08 ÄÜC
-998-01-01, 00:00:00 UTC = -224-02-42, 43:33:01 ÄÜC
-997-01-01, 00:00:00 UTC = -223-02-11, 21:16:42 ÄÜC
-996-01-01, 00:00:00 UTC = -222-01-28, 48:00:35 ÄÜC
-995-01-01, 00:00:00 UTC = -221-00-47, 18:24:45 ÄÜC
-994-01-01, 00:00:00 UTC = -220-00-15, 45:08:37 ÄÜC
-993-01-01, 00:00:00 UTC = -220-06-33, 22:41:30 ÄÜC
-992-01-01, 00:00:00 UTC = -219-06-02, 00:25:22 ÄÜC
-991-01-01, 00:00:00 UTC = -218-05-20, 20:00:33 ÄÜC
-990-01-01, 00:00:00 UTC = -217-04-37, 46:33:25 ÄÜC
-989-01-01, 00:00:00 UTC = -216-04-06, 24:17:17 ÄÜC
-988-01-01, 00:00:00 UTC = -215-03-24, 02:01:10 ÄÜC
-987-01-01, 00:00:00 UTC = -214-02-42, 21:25:20 ÄÜC
-986-01-01, 00:00:00 UTC = -213-02-10, 48:09:13 ÄÜC
-985-01-01, 00:00:00 UTC = -212-01-28, 25:42:05 ÄÜC
-984-01-01, 00:00:00 UTC = -211-00-46, 03:25:47 ÄÜC
-983-01-01, 00:00:00 UTC = -210-00-15, 23:01:08 ÄÜC
-982-01-01, 00:00:00 UTC = -210-06-33, 00:34:00 ÄÜC
-981-01-01, 00:00:00 UTC = -209-06-01, 27:17:42 ÄÜC
-980-01-01, 00:00:00 UTC = -208-05-19, 05:01:34 ÄÜC
-979-01-01, 00:00:00 UTC = -207-04-37, 24:25:45 ÄÜC
-978-01-01, 00:00:00 UTC = -206-04-06, 02:09:37 ÄÜC
-977-01-01, 00:00:00 UTC = -205-03-23, 28:42:29 ÄÜC
-976-01-01, 00:00:00 UTC = -204-02-41, 06:26:22 ÄÜC
-975-01-01, 00:00:00 UTC = -203-02-10, 26:01:32 ÄÜC
-974-01-01, 00:00:00 UTC = -202-01-28, 03:34:25 ÄÜC
-973-01-01, 00:00:00 UTC = -201-00-45, 30:18:17 ÄÜC
-972-01-01, 00:00:00 UTC = -200-00-14, 08:02:10 ÄÜC
-971-01-01, 00:00:00 UTC = -200-06-32, 27:26:20 ÄÜC
-970-01-01, 00:00:00 UTC = -199-06-01, 05:10:12 ÄÜC
-969-01-01, 00:00:00 UTC = -198-05-18, 31:43:05 ÄÜC
-968-01-01, 00:00:00 UTC = -197-04-36, 09:26:46 ÄÜC
-967-01-01, 00:00:00 UTC = -196-04-05, 29:02:08 ÄÜC
-966-01-01, 00:00:00 UTC = -195-03-23, 06:35:00 ÄÜC
-965-01-01, 00:00:00 UTC = -194-02-40, 33:18:41 ÄÜC
-964-01-01, 00:00:00 UTC = -193-02-09, 11:02:34 ÄÜC
-963-01-01, 00:00:00 UTC = -192-01-27, 30:26:44 ÄÜC
-962-01-01, 00:00:00 UTC = -191-00-45, 08:10:37 ÄÜC
-961-01-01, 00:00:00 UTC = -190-00-13, 34:43:29 ÄÜC
-960-01-01, 00:00:00 UTC = -190-06-31, 12:27:22 ÄÜC
-959-01-01, 00:00:00 UTC = -189-06-00, 32:02:32 ÄÜC
-958-01-01, 00:00:00 UTC = -188-05-18, 09:35:24 ÄÜC
-957-01-01, 00:00:00 UTC = -187-04-35, 36:19:17 ÄÜC
-956-01-01, 00:00:00 UTC = -186-04-04, 14:03:09 ÄÜC
-955-01-01, 00:00:00 UTC = -185-03-22, 33:27:20 ÄÜC
-954-01-01, 00:00:00 UTC = -184-02-40, 11:11:12 ÄÜC
-953-01-01, 00:00:00 UTC = -183-02-08, 37:44:04 ÄÜC
-952-01-01, 00:00:00 UTC = -182-01-26, 15:27:46 ÄÜC
-951-01-01, 00:00:00 UTC = -181-00-44, 35:03:07 ÄÜC
-950-01-01, 00:00:00 UTC = -180-00-13, 12:36:00 ÄÜC
-949-01-01, 00:00:00 UTC = -180-06-30, 39:19:41 ÄÜC
-948-01-01, 00:00:00 UTC = -179-05-48, 17:03:34 ÄÜC
-947-01-01, 00:00:00 UTC = -178-05-17, 36:27:44 ÄÜC
-946-01-01, 00:00:00 UTC = -177-04-35, 14:11:36 ÄÜC
-945-01-01, 00:00:00 UTC = -176-04-03, 40:44:29 ÄÜC
-944-01-01, 00:00:00 UTC = -175-03-21, 18:28:21 ÄÜC
-943-01-01, 00:00:00 UTC = -174-02-39, 38:03:32 ÄÜC
-942-01-01, 00:00:00 UTC = -173-02-08, 15:36:24 ÄÜC
